trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:07:00,09:07:00,5186 9,16,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:08:00,09:08:00,5185 9,17,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:10:00,09:10:00,5187 9,18,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:11:00,09:11:00,5188 9,19,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:12:00,09:12:00,5189 9,20,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:13:00,09:13:00,5190 9,21,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:14:00,09:14:00,5191 9,22,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:16:00,09:16:00,5192 9,23,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:18:00,09:18:00,5199 9,24,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:19:00,09:19:00,5193 9,25,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:20:00,09:20:00,5194 9,26,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:21:00,09:21:00,5195 9,27,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:22:00,09:22:00,5196 9,28,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:23:00,09:23:00,5197 9,29,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:24:00,09:24:00,5198 2,30,上松,1,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:40:00,13:40:00,5263 9,1,臼津交通本社前,0,1,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:42:00,13:42:00,5264 9,2,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:43:00,13:43:00,5265 9,3,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:44:00,13:44:00,5266 9,4,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:46:00,13:46:00,5267 9,5,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:47:00,13:47:00,5268 9,6,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:48:00,13:48:00,5295 9,7,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:49:00,13:49:00,5294 9,8,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:50:00,13:50:00,5293 9,9,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:51:00,13:51:00,5292 9,10,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:52:00,13:52:00,5291 9,11,臼津交通本社前,0,0,,
92cb5e85-887f-4eb5-ac25-33433d4be133,13:53:00,13:53:00,5290 9,12,臼津交通本社前,0,0,,
